pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
560105,bengaluru,BENGALURU URBAN,KARNATAKA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560107,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560108,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560109,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560110,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560111,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560112,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560113,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560114,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560115,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560116,bengaluru,BENGALURU URBAN,KARNATAKA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560300,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560500,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562106,bengaluru,BENGALURU URBAN,KARNATAKA,9,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562107,bengaluru,BENGALURU URBAN,KARNATAKA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562120,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562125,bengaluru,BENGALURU URBAN,KARNATAKA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562130,bengaluru,BENGALURU URBAN,KARNATAKA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562149,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562157,bengaluru,BENGALURU URBAN,KARNATAKA,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562162,bengaluru,BENGALURU URBAN,KARNATAKA,10,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
562163,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
