rank,hex_id,name,final_affluence_score,affluence_tier,spatial_relation,confidence_score,countable_family_tam,direct_family_tam,direct_total_units,direct_luxury_society_tam,conservative_50l_plus_family_tam,conservative_50l_plus_share_of_direct_tam,estimated_40l_plus_family_tam_linear_25_50_split,estimated_40l_plus_share_linear_25_50_split,nearby_family_tam_weighted_context,society_cluster_tam_weighted_context_not_counted,market_price_per_sqft,refined_budget_segment,premium_candidate_score,rental_yield_pct,yearly_appreciation_pct,society_score,society_cluster_score,hospital_score,market_score,sez_workplace_score,habitability_score,habitability_class,habitable_for_residential_tam,societies_direct_count,societies_nearby_count,society_cluster_project_count,hospitals_nearby_count,top_societies,top_hospitals,quality_flags
132,87601690effffff,Shettigere,39.5956,Low Evidence,low_evidence,0.4833,0.0,1203.0,1203.0,1203.0,0.0,0.0,0.0,0.0,1203.0,1494.31,8958.567591763653,Mid-Segment,0.10733221315931195,,10.4,0.575012,0.631189,0.0,0.624111,0.0,0.185519,low_building_evidence,True,3,3,10,0,"Sattva Vasanta Skye (Premium Luxury, TAM 1,077) | SRK The Roots  (Elite Luxury, TAM 100) | SS AR Villas (Elite Luxury, TAM 26)",,
133,876189213ffffff,Mallasandra,39.4906,Low Evidence,low_evidence,0.6667,0.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,197.33,284.7,9750.0,Mid-Segment,0.22875647942377098,,3.2000000000000006,0.418679,0.431785,0.436533,0.694783,0.0,0.218884,low_building_evidence,True,1,5,7,20,"Kumari Nautilus (Ultra Luxury, TAM 165) | Goyal & Co Hariyana Group Riviera Uno (Elite Luxury, TAM 137) | Raffles Park (Elite Luxury, TAM 61) | Birla Alokya (Elite Luxury, TAM 218) | Ranav Tranquil Haven (Elite Luxury, TAM 36)","Aster Women & Children Hospital (Ultra Premium, 18.2 min) | Aster Whitefield Hospital (Ultra Premium, 18.2 min) | RxDx Healthcare (Ultra Premium, 21.8 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 23.4 min) | Kauvery Hospital (Ultra Premium, 23.7 min)",
134,876014592ffffff,Vidyaranyapura-Kuvempunagara,39.4326,Low Evidence,low_evidence,0.9,0.0,345.0,345.0,345.0,0.0,0.0,0.0,0.0,446.48,675.12,6358.593220338982,Premium Candidate,0.16372355731383106,,13.6,0.408612,0.459569,0.740982,0.506502,0.0,0.703635,habitable,True,2,7,17,79,"Arvind Codename Unlimited (Premium Luxury, TAM 334) | Eshaan Apartments (Premium Luxury, TAM 11) | Adithya Spring (Elite Luxury, TAM 28) | Prestige Willow Tree (Aspirational Premium, TAM 451) | Nitesh Madison Square (Elite Luxury, TAM 18)","Aster CMI Hospital (Ultra Premium, 9.7 min) | People Tree Hospitals (Ultra Premium, 9.9 min) | Mind and Brain hospital (Ultra Premium, 7.2 min) | Smiles Institute of Gastroenterology (Ultra Premium, 7.3 min) | Aveksha Hospital (Ultra Premium, 6.6 min)",
135,876014514ffffff,Talagattapura,39.2886,Low Evidence,low_evidence,0.6667,0.0,1391.0,1391.0,1391.0,0.0,0.0,0.0,0.0,1484.59,1823.57,,Affordable,0.0,,,0.648522,0.725994,0.655288,0.053513,0.0,0.440103,sparse_habitable,True,4,7,10,67,"Sobha Forest View (Ultra Luxury, TAM 889) | Sobha Forest Edge (Ultra Luxury, TAM 217) | Mantri Courtyard (Ultra Luxury, TAM 174) | Teamview Skav Madhura  (Premium Luxury, TAM 111) | Total Environment The Magic Faraway Tree (Elite Luxury, TAM 434)","DHEE Hospitals (Ultra Premium, 5.8 min) | Aster RV Hospital (Ultra Premium, 15.3 min) | Astra Superspeciality Hospital (Super Premium, 8.5 min) | Pathway Hospitals (Ultra Premium, 9.5 min) | Fortis Hospital (Ultra Premium, 16.9 min)",
136,876016929ffffff,Sathanuru,37.7225,Low Evidence,low_evidence,0.7667,0.0,826.0,826.0,826.0,0.0,0.0,0.0,0.0,904.43,1263.87,,Premium,0.4927987742594484,,,0.560139,0.635302,0.332288,0.293485,0.001751,0.238764,low_building_evidence,True,3,8,13,22,"Assetz Earth and Essence (Elite Luxury, TAM 220) | Embassy Boulevard (Elite Luxury, TAM 170) | Purva Zenium 2 (Premium Luxury, TAM 436) | AWHO Yelahanka Part A (Premium Luxury, TAM 400) | Prasiddhi Commanders Pinnacle (Premium Luxury, TAM 77)","Maarga (Ultra Premium, 17.3 min) | Manipal Hospital (Super Premium, 12.4 min) | Regal Hospital (Super Premium, 13.4 min) | Aster CMI Hospital (Ultra Premium, 27.4 min) | Mind and Brain hospital (Ultra Premium, 24.6 min)",
137,876189221ffffff,Valagere Kallahalli,37.4515,Low Evidence,low_evidence,0.6667,0.0,2940.0,2940.0,2940.0,0.0,0.0,0.0,0.0,3257.67,4516.59,,Affordable,0.0,,,0.695338,0.848562,0.229381,0.177778,0.0,0.273418,sparse_habitable,True,2,11,21,8,"Meridian Park at The Prestige City (Premium Luxury, TAM 2,900) | VRL Happy Homes (Premium Luxury, TAM 40) | Aston Park At The Prestige City (Ultra Luxury, TAM 760) | Eaton Park at The Prestige City (Ultra Luxury, TAM 366) | Avalon Park At The Prestige City (Ultra Luxury, TAM 950)","Belenus Champion Hospital (Ultra Premium, 18.7 min) | Kauvery Hospital (Ultra Premium, 28.2 min) | RxDx Healthcare (Ultra Premium, 24.6 min) | Vasundhara Agrawal, Diet and Lifestyle Consultant (Ultra Premium, 24.0 min) | Cloudnine Hospital (Super Premium, 22.9 min)",
138,876016974ffffff,Bharathi Nagar,37.3286,Low Evidence,low_evidence,0.8667,0.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,241.41,993.38,1728.0,Mid-Segment,0.0,,,0.435804,0.644898,0.401174,0.181506,0.300219,0.369904,sparse_habitable,True,2,10,32,27,"Velpula Orchid (Elite Luxury, TAM 30) | AR Enclave Phase 2 (Premium Luxury, TAM 40) | Tvs Emerald Altura (Super Luxury, TAM 975) | Chowdeshwara Enclave (Premium Luxury, TAM 60) | Shelton (Premium Luxury, TAM 260)","Manipal Hospital (Super Premium, 7.1 min) | Maarga (Ultra Premium, 12.0 min) | Aster CMI Hospital (Ultra Premium, 22.1 min) | Mind and Brain hospital (Ultra Premium, 19.3 min) | Regal Hospital (Super Premium, 15.4 min)",
139,876016970ffffff,Bettahalasuru,37.1951,Low Evidence,low_evidence,0.7667,0.0,602.0,602.0,602.0,0.0,0.0,0.0,0.0,605.91,634.45,9050.0,Mid-Segment,0.006083322742682486,,,0.474006,0.429182,0.303503,0.444977,0.01579,0.278462,sparse_habitable,True,5,6,8,19,"Total Environment After the Rain (Elite Luxury, TAM 219) | Goyal Riviera Glade (Elite Luxury, TAM 112) | Skanda Serene (Premium Luxury, TAM 183) | Royal Palm Aeroville (Premium Luxury, TAM 68) | BMR Farm Meadows (Premium Luxury, TAM 20)","Maarga (Ultra Premium, 18.1 min) | Manipal Hospital (Super Premium, 13.2 min) | Aster CMI Hospital (Ultra Premium, 28.1 min) | Mind and Brain hospital (Ultra Premium, 25.4 min) | Medstar Speciality Hospital (Ultra Premium, 24.8 min)",
140,876189275ffffff,Maruthi Seva Nagara,37.1842,Low Evidence,low_evidence,0.7867,0.0,128.0,128.0,128.0,0.0,0.0,0.0,0.0,223.45,767.79,,Mid-Segment,0.0,,,0.458601,0.608579,0.681724,0.105322,0.179006,0.415258,sparse_habitable,True,1,4,14,65,"Assetz Muse & Maison (Premium Luxury, TAM 128) | JRC Wild Woods (Ultra Luxury, TAM 582) | LGCL Pueblo (Ultra Luxury, TAM 59) | Ahad Excellencia (Aspirational Premium, TAM 505)","Kauvery Hospitals (Ultra Premium, 12.5 min) | Springleaf Healthcare (Ultra Premium, 6.9 min) | Manipal Hospital (Ultra Premium, 14.7 min) | Cloudnine Hospital (Ultra Premium, 16.0 min) | Lotus Multispeciality Center (Ultra Premium, 15.9 min)",
141,87618935affffff,Kaggalipura,36.4987,Low Evidence,low_evidence,0.6667,0.0,151.0,151.0,151.0,0.0,0.0,0.0,0.0,221.26,821.28,6000.0,Affordable,0.0,,33.3,0.452404,0.634848,0.539635,0.378841,0.0,0.252978,sparse_habitable,True,3,5,9,40,"Capstone Circular Reflections (Elite Luxury, TAM 63) | Golden City (Premium Luxury, TAM 60) | Diamond Elite Enclave (Premium Luxury, TAM 28) | Nambiar Bellezea (Elite Luxury, TAM 430) | Nambiar Ellegenza (Elite Luxury, TAM 304)","Kauvery Hospitals (Ultra Premium, 17.6 min) | Belenus Champion Hospital (Ultra Premium, 15.1 min) | Manipal Hospital (Ultra Premium, 20.6 min) | Springleaf Healthcare (Ultra Premium, 14.6 min) | Sakra World Hospital (Ultra Premium, 22.8 min)",
142,876189358ffffff,Singena Agrahara,35.6619,Low Evidence,low_evidence,0.6667,0.0,675.0,675.0,675.0,0.0,0.0,0.0,0.0,713.98,836.65,5554.0,Mid-Segment,0.0,,,0.520983,0.573576,0.497724,0.294485,0.0,0.246024,low_building_evidence,True,3,5,11,30,"Nambiar Bellezea (Elite Luxury, TAM 430) | Concorde Abode 99 (Elite Luxury, TAM 159) | 42 Mark One (Ultra Luxury, TAM 86) | Grand Lapalazzo (Ultra Luxury, TAM 160) | Mahidhara Harmony (Ultra Luxury, TAM 146)","Kauvery Hospitals (Ultra Premium, 14.9 min) | Springleaf Healthcare (Ultra Premium, 11.9 min) | Belenus Champion Hospital (Ultra Premium, 18.5 min) | Mazumdar Shaw Medical Center (Premium, 10.1 min) | Manipal Hospital (Ultra Premium, 24.3 min)",
