project_id,city_id,name,locality,pincode,existing_source,query,osm_lat,osm_lon,osm_display_name,accepted,acceptance_reason,cache_status
project_6a55d209af5db36f,delhi_ncr,Godrej Palm Retreat 2,"Sector 150, Pusta Road",201310.0,validated_candidate_geocode,"Godrej Palm Retreat 2, Sector 150, Pusta Road, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_44baa532ce870d10,delhi_ncr,M3M Capital,Sector 113,122017.0,validated_candidate_geocode,"M3M Capital, Sector 113, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_31d7e5de4bdff12c,delhi_ncr,Tulip Yellow,Sector 69,122001.0,validated_candidate_geocode,"Tulip Yellow, Sector 69, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_0f6b8995e0472fb2,delhi_ncr,DLF Garden City The Primus,Sector 82A,122004.0,validated_candidate_geocode,"DLF Garden City The Primus, Sector 82A, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_a9db9d78ab73307a,delhi_ncr,Tulip Melrose,Sector 70,122101.0,validated_candidate_geocode,"Tulip Melrose, Sector 70, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f88729f98382819d,delhi_ncr,ATS Nobility,Noida Extension,201009.0,unmapped,"ATS Nobility, Noida Extension, 201009.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_8ccc0cbe5e9f5289,delhi_ncr,Apex Athena,Sector 75,201304.0,validated_candidate_geocode,"Apex Athena, Sector 75, 201304.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_1f6a7eb1cfcf0d3b,delhi_ncr,Eldeco Inspire,"Sector 119, Pusta Road",201307.0,validated_candidate_geocode,"Eldeco Inspire, Sector 119, Pusta Road, 201307.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_add853a209c8ef23,delhi_ncr,Vatika Seven Lamps,Sector 82,122004.0,validated_candidate_geocode,"Vatika Seven Lamps, Sector 82, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss_error
project_8faab6c65795a5ca,delhi_ncr,JM Aroma,Sector 75,201304.0,validated_candidate_geocode,"JM Aroma, Sector 75, 201304.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_8dfb0feb17337bb2,delhi_ncr,Bestech Park View Sanskruti Gururgam,Sector 92,122505.0,validated_candidate_geocode,"Bestech Park View Sanskruti Gururgam, Sector 92, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_9e3e50743a2007b5,delhi_ncr,ATS Pious Orchards,"Sector 150, Pusta Road",201310.0,validated_candidate_geocode,"ATS Pious Orchards, Sector 150, Pusta Road, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_a55aeb73e76c6304,delhi_ncr,Godrej Air,Sector 85,122004.0,validated_candidate_geocode,"Godrej Air, Sector 85, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_82ecc1ea293c4981,delhi_ncr,Indiabulls Heights,Sector 104,122006.0,validated_candidate_geocode,"Indiabulls Heights, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_42f90913884553d3,delhi_ncr,Gaur Green Avenue,Indirapuram,201014.0,validated_candidate_geocode,"Gaur Green Avenue, Indirapuram, 201014.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_9d237776dcc31d67,delhi_ncr,Ramprastha Imperial Heights,Indirapuram,201014.0,unmapped,"Ramprastha Imperial Heights, Indirapuram, 201014.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_647445e7c7b5109d,delhi_ncr,Bestech Park View Grand Spa,Sector 81,122051.0,validated_candidate_geocode,"Bestech Park View Grand Spa, Sector 81, 122051.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_c359a6d52816616e,delhi_ncr,BPTP Freedom Park Life,Sector 57,122003.0,validated_candidate_geocode,"BPTP Freedom Park Life, Sector 57, 122003.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_31319849ee962c21,delhi_ncr,Gpl Eden Heights,Sector 70,122101.0,validated_candidate_geocode,"Gpl Eden Heights, Sector 70, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_13402058bbc6a70c,delhi_ncr,HR Oracle Elite Homz,Sector 77,201301.0,validated_candidate_geocode,"HR Oracle Elite Homz, Sector 77, 201301.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_938ad3fa112f651c,delhi_ncr,Panchsheel Pratishtha,Sector 75,201304.0,validated_candidate_geocode,"Panchsheel Pratishtha, Sector 75, 201304.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_8ede6b68029c92b0,delhi_ncr,DLF Regal Gardens,Sector 90,122505.0,validated_candidate_geocode,"DLF Regal Gardens, Sector 90, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_454c0d0aa3ed4226,delhi_ncr,Assotech Blith,Sector 99,122001.0,validated_candidate_geocode,"Assotech Blith, Sector 99, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss_error
project_bbdfefcfb2fbdeb8,delhi_ncr,Meffier Garden Residency,Sector 5 Sohna,122103.0,validated_candidate_geocode,"Meffier Garden Residency, Sector 5 Sohna, 122103.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_80a6b4c3f3031415,delhi_ncr,AVP AVS Orchard,Sector 77,201301.0,validated_candidate_geocode,"AVP AVS Orchard, Sector 77, 201301.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_da68baab5166c54f,delhi_ncr,Spaze Privy 72,Sector 72,122004.0,validated_candidate_geocode,"Spaze Privy 72, Sector 72, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_3316c16626d1b2a2,delhi_ncr,Birla Navya,Sector 63A,122102.0,unmapped,"Birla Navya, Sector 63A, 122102.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_a7e7cae2460a676a,delhi_ncr,One India Bulls,Sector 104,122006.0,validated_candidate_geocode,"One India Bulls, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f2e8025de4f7c2cd,delhi_ncr,Ivy County,Sector 75,201304.0,validated_candidate_geocode,"Ivy County, Sector 75, 201304.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_811a69f491923d7c,delhi_ncr,Independent Floors at DLF Gardencity Enclave Phase 2,Sector 93,122505.0,unmapped,"Independent Floors at DLF Gardencity Enclave Phase 2, Sector 93, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_7643dceabd6d0f74,delhi_ncr,Ashiana Aaroham,Sector 80,122101.0,validated_candidate_geocode,"Ashiana Aaroham, Sector 80, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_dfe0e72602adbd43,delhi_ncr,BPTP park prime,Sector 66,122102.0,validated_candidate_geocode,"BPTP park prime, Sector 66, 122102.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_e10f6c43a055cb66,delhi_ncr,Chintels Paradiso,Sector 109,122017.0,validated_candidate_geocode,"Chintels Paradiso, Sector 109, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f507e0cc02d44b0c,delhi_ncr,Bestech Altura,Sector 79,122004.0,validated_candidate_geocode,"Bestech Altura, Sector 79, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_fc65c36569c93139,delhi_ncr,DLF Exclusive Floors,Sector 54,122011.0,validated_candidate_geocode,"DLF Exclusive Floors, Sector 54, 122011.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_90601fd0114162da,delhi_ncr,T&T DigiTown,Siddharth Vihar,201009.0,validated_candidate_geocode,"T&T DigiTown, Siddharth Vihar, 201009.0, Delhi NCR, India",,,,False,no_osm_result,miss
